Start Latitude,Start Longitude,End Latitude,End Longitude,Transect number,CTD #/flow File,Depth (m),Total bacteria/mL,Active bacteria/mL,Dead bacteria/mL,Protozoa/mL,Phytoplankton/mL,,,,,,integrated Phytoplankton/mL
-67.94182,39.99569,-67.94176,39.99483,3,CTD54 syto13.001,10.092,247746.8792,97571.07018,83425.76623,144.0971495,5301.633739,,,,,,
-67.94182,39.99569,-67.94176,39.99483,3,CTD54 syto13.002,29.749,252508.8539,100471.2408,139661.5928,129.5978508,5238.261518,,,,,,
-67.94182,39.99569,-67.94176,39.99483,3,CTD54 syto13.003,55.099,397159.6581,94951.33557,171585.5058,61.88622912,1535.367875,,,,,,
-67.94182,39.99569,-67.94176,39.99483,3,CTD54 syto13.004,71.134,362164.3812,80740.6068,162125.1351,55.73047404,1506.082079,,,,,,13581.34521
-68.13105,40.00213,-68.13659,40.00068,3,CTD56 syto13.001,9.934,206641.1321,31682.18182,113500.7586,216.8590765,5728.014554,,,,,,
-68.13105,40.00213,-68.13659,40.00068,3,CTD56 syto13.002,30.188,167063.4908,65112.44602,149672.5037,214.6830956,7726.004899,,,,,,
-68.13105,40.00213,-68.13659,40.00068,3,CTD56 syto13.003,40.586,172003.4105,47523.44987,143406.4482,208.3637,4671.840999,,,,,,
-68.13105,40.00213,-68.13659,40.00068,3,CTD56 syto13.004,50.666,190583.5752,73394.03333,123667.3563,110.9292188,2450.347208,,,,,,20576.20766
-68.19706,40.00657,-68.19465,40.00556,3,CTD58 syto13.001,4.89,114215.8547,36140.05556,90036.41221,184.5526842,5964.882038,,,,,,
-68.19706,40.00657,-68.19465,40.00556,3,CTD58 syto13.002,30.177,100630.2302,66652.8522,87381.37613,214.2891188,5488.976095,,,,,,
-68.19706,40.00657,-68.19465,40.00556,3,CTD58 syto13.003,50.181,198026.1851,44488.37228,113216.2, , ,,,,,,
-68.19706,40.00657,-68.19465,40.00556,3,CTD58 syto13.004,100.355,61576.32829,11848.74159,31586.36947,107.5964262,2264.773556,,,,,,13718.63169
-63.33499,50.00051,-63.33097,49.99018,5,CTD61 syto13.001,9.377,252012.9098,62072.94872,120626.8421,113.2764246,1434.834712,,,,,,
-63.33499,50.00051,-63.33097,49.99018,5,CTD61 syto13.002,44.562,223824.507,58763.83333,98683.98693,146.9381523,1414.670509,,,,,,
-63.33499,50.00051,-63.33097,49.99018,5,CTD61 syto13.003,58.221,348487.9435,78185.96154,176726.8548,179.7647608,1244.284779,,,,,,
-63.33499,50.00051,-63.33097,49.99018,5,CTD61 syto13.004,79.801,320815.9322,51991.59483,154056.84,155.3828737,1233.144934,,,,,,5326.934933
-64.51082,49.99327,-64.51108,49.97606,5,CTD63 syto13.001,10.339,467254.6053,62186.31034,208329.9569,103.593252,2116.552325,,,,,,
-64.51082,49.99327,-64.51108,49.97606,5,CTD63 syto13.002,50.888,434219.1304,75718.83721,188205.9375,118.9684062,1733.789566,,,,,,
-64.51082,49.99327,-64.51108,49.97606,5,CTD63 syto13.003,69.284,438898.0769,67231.91176,176444.8636,80.40111664,1460.873119,,,,,,
-64.51082,49.99327,-64.51108,49.97606,5,CTD63 syto13.004,99.51,253280.0455,38126.2,135475.1145,37.94030127,652.2118457,,,,,,5963.426856
-65.37988,49.99791,-65.37974,49.98321,5,CTD65 syto13.001,9.845,437762.2034,140972.1809,141607.9237,266.9560519,3496.263132,,,,,,
-65.37988,49.99791,-65.37974,49.98321,5,CTD65 syto13.002,30.843,595782.4713,70399.80769,63589.31734,282.3835109,4963.545217,,,,,,
-65.37988,49.99791,-65.37974,49.98321,5,CTD65 syto13.003,60.086,606067.2772,44975.14344,133174.2117,324.1659621,3415.530455,,,,,,
-65.37988,49.99791,-65.37974,49.98321,5,CTD65 syto13.004,100.665,130834.1848,4334.005525,19828.24645,15.50531629,228.7034153,,,,,,12104.04222
-65.86251,49.9847,-65.87168,49.97453,5,CTD67 syto13.001,9.402,86512.82051,10294.94197,42462.94177,149.6753802,2326.912097,,,,,,
-65.86251,49.9847,-65.87168,49.97453,5,CTD67 syto13.002,50.919,104430.6194,11286.69039,40532.48479,149.7161058,2492.456859,,,,,,
-65.86251,49.9847,-65.87168,49.97453,5,CTD67 syto13.003,71.663,128646.2772,22111.6348,64119.05222,228.8896654,3241.164035,,,,,,
-65.86251,49.9847,-65.87168,49.97453,5,CTD67 syto13.004,89.394,106202.3316,7662.884283,37845.83503,62.44929655,647.6884185,,,,,,8708.22141
-66.02712,49.99792,-66.02888,49.98886,5,CTD69 syto13.001,10.909,91282.40891,21616.69202,45566.54246,175.1076426,2524.15804,,,,,,
-66.02712,49.99792,-66.02888,49.98886,5,CTD69 syto13.002,50.997,124161.051,22813.91589,65081.65377,310.308218,1448.81837,,,,,,
-66.02712,49.99792,-66.02888,49.98886,5,CTD69 syto13.003,61.622,120097.4948,16029.39863,60443.47295,167.0541211,1309.195884,,,,,,
-66.02712,49.99792,-66.02888,49.98886,5,CTD69 syto13.004,119.897,64681.75418,5848.486328,31339.39571,51.10958885,422.9759077,,,,,,5705.148201
-66.33919,50.15557,-66.33867,50.15374,5,CTD71 syto13.001,10.473,119741.6084,26199.84348,104951.6778,58.2037674,1171.350819,,,,,,
-66.33919,50.15557,-66.33867,50.15374,5,CTD71 syto13.002,51.014,131747.4203,21410.71028,94605.11272,73.30213546,1336.891328,,,,,,
-66.33919,50.15557,-66.33867,50.15374,5,CTD71 syto13.003,80.27,127110.9781,16471.84441,87924.63149,91.680028,1263.746268,,,,,,
-66.33919,50.15557,-66.33867,50.15374,5,CTD71 syto13.004,144.336,106277.8585,10629.23986,83249.78261,58.10578126,624.6371486,,,,,,4396.625564
-62.99916,60.00489,-63.00334,60.01552,7,CTD73 syto13.001,10.114,39936.41189,3790.575153,12863.7976,,,,,,,,
-62.99916,60.00489,-63.00334,60.01552,7,CTD73 syto13.002,60.146,46840.81693,8677.89267,17171.81733,,,,,,,,
-62.99916,60.00489,-63.00334,60.01552,7,CTD73 syto13.003,70.215,67016.53846,6602.161215,22785.87669,,,,,,,,
-62.99916,60.00489,-63.00334,60.01552,7,CTD73 syto13.004,101.422,63749.94975,3245.531062,24418.02062,86.72068862,4079.485727,,,,,,4079.485727
