OTUNumber,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,Size,OSD1,OSD10,OSD100_1m_depth,OSD100_20m_depth,OSD101,OSD50,OSD99
Otu02074,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,78,0,0,0,0,0,0,0
Otu02805,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,46,0,0,1,0,0,0,1
Otu03431,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,31,0,0,0,0,0,0,0
Otu03653,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,28,7,0,0,0,0,0,0
Otu03709,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,27,0,0,0,0,0,0,0
Otu04355,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,20,0,0,0,0,0,0,0
Otu04558,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,18,0,0,0,0,0,0,0
Otu04604,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,18,0,0,0,0,0,0,0
Otu04922,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,16,0,0,0,0,0,0,0
Otu05262,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,14,0,0,0,0,0,0,0
Otu07375,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,7,0,0,0,0,0,0,0
Otu09096,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,5,0,0,0,0,0,0,0
Otu10007,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,4,0,0,0,0,0,0,0
Otu10509,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,4,0,0,0,0,0,0,0
Otu11092,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,3,0,0,1,0,0,0,0
Otu12624,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,3,0,0,0,0,0,0,0
Otu13281,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,3,0,0,0,0,0,0,0
Otu15093,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,2,0,0,0,0,0,0,0
Otu15429,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta undetermined,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,Chlorophyta_XXXX_sp.,2,0,0,0,0,0,0,0
